,eta,L2,F
87,0.29912800756216673,0.8855220562802557,-0.5024702747556449
88,0.28058184836936956,0.8779801254970655,-0.48612992599742366
89,0.2620829635369503,0.8703783560700402,-0.46997316773287934
90,0.24369751453784178,0.8627419355802524,-0.4540554529009012
91,0.22545540683463453,0.8550818192948393,-0.43840304083812276
92,0.20738376801315334,0.847408248498482,-0.4230355089978667
93,0.1894944525233509,0.8397253228685938,-0.407961906709175
94,0.17180376856694718,0.8320392699839545,-0.3931918100446584
95,0.15431843594678327,0.824352366098583,-0.3787289590858453
96,0.13705049634080793,0.8166693749184644,-0.36457893567343913
97,0.12000517724378439,0.8089922038482263,-0.35074352021657196
98,0.10319242154966371,0.8013250183485627,-0.3372262729531029
99,0.08661654083527401,0.7936695792923741,-0.324027628527383
100,0.07028601600984903,0.7860297036466863,-0.3111497363148099
101,0.054204582775081896,0.7784071489677489,-0.2985920612702172
102,0.038379130214040706,0.7708052962447178,-0.28635531064265884
103,0.022812597336211257,0.7632257802304406,-0.2744379100101677
104,0.007510203076581275,0.7556714661565856,-0.2628391445417573
105,-0.0075262442312486865,0.7481436690934358,-0.2515562644880173
106,-0.022293443397849052,0.7406445512203887,-0.2405870394229593
107,-0.036790584792358576,0.733175116829404,-0.22992777590930574
108,-0.051015964571422365,0.7257369101714803,-0.21957505938477212
109,-0.06496974725382326,0.7183305795476822,-0.20952438737556994
110,-0.07865153842917673,0.7109571267694635,-0.19977144809041392
111,-0.09206219646831272,0.7036169358468356,-0.19031123013438783
112,-0.10520217215008591,0.6963106544522346,-0.18113891105347074
113,-0.11807274936437219,0.689038508836645,-0.1722492267469731
114,-0.13067493898137034,0.6818009096008162,-0.1636370752799277
115,-0.14301025863066585,0.6745980081691013,-0.15529711470748797
116,-0.15508005029932,0.6674300833553481,-0.1472241380060033
117,-0.1668859645968016,0.6602972574051736,-0.13941281789664833
118,-0.17842955498167506,0.6531997337863447,-0.13185793145337935
119,-0.18971254817112218,0.6461376337674218,-0.12455421739818605
120,-0.2007366375314651,0.63911112170181,-0.11749648891242133
121,-0.21150362545448767,0.6321203157279333,-0.11067955901636282
122,-0.22201530856084303,0.6251653599466602,-0.10409830422907689
123,-0.23227355733891955,0.618246372634158,-0.0977476220639946
124,-0.24228025915366316,0.6113634831418184,-0.09162246322723182
125,-0.25203735351445533,0.6045168078909436,-0.08571781325550584
126,-0.26154680764389554,0.5977064665484821,-0.08002870665070479
127,-0.2708106312637892,0.5909325712640325,-0.07455021958053315
128,-0.27983086558215425,0.5841952339633546,-0.06927747660966306
129,-0.288609588033802,0.5774945624350742,-0.064205648774497
130,-0.297148910099745,0.5708306613270435,-0.05932995540346249
131,-0.3054509744916876,0.564203633774665,-0.05464566621255841
132,-0.31351795902914836,0.5576135777092462,-0.05014809976542925
133,-0.3213520706866491,0.5510605899319929,-0.04583262717065646
134,-0.3289555470435175,0.5445447643541805,-0.041694671746624695
135,-0.33633065666415646,0.5380661909011202,-0.03772970924075826
136,-0.3434796961843386,0.531624957234023,-0.03393326974586778
137,-0.3504049893301751,0.5252211489190073,-0.03030093853249985
138,-0.35710888782761335,0.5188548477868757,-0.02682835585762129
139,-0.36359376911708674,0.5125261331613108,-0.02351121840267376
140,-0.3698620360640974,0.5062350812519788,-0.020345279623405273
141,-0.3759161118754101,0.49998176945011136,-0.017326352490519628
142,-0.3817584520573446,0.49376626298662024,-0.014450303554520347
143,-0.38739152233519947,0.4875886369819381,-0.011713064185107331
144,-0.3928178179028497,0.48144895523704595,-0.0091106208882685
145,-0.3980398537218412,0.47534727916193653,-0.006639020226161382
146,-0.4030601579534206,0.46928367468907956,-0.004294371960481932
147,-0.4078812833816996,0.4632581977585165,-0.0020728433738248903
148,-0.412505796372014,0.45727090621826305,2.933544807349033e-05
149,-0.41693627933674093,0.4513218559456692,0.002015872996521232
150,-0.4211753326707432,0.44541109679629953,0.0038904174176279563
151,-0.42522556359827135,0.43953868692125714,0.005656551545913153
152,-0.429089610608226,0.4337046558414738,0.00731780437452981
153,-0.4327700993817826,0.42790906802621775,0.008877631150624864
154,-0.4362696853095761,0.4221519582488882,0.010339433153800693
155,-0.4395910282645542,0.416433367782964,0.011706546504886145
156,-0.44273679672462585,0.4107533371807611,0.012982244464149383
157,-0.4457096670078098,0.40511190628148275,0.014169737514237925
158,-0.4485123185269092,0.39950912239652764,0.015272171806892214
159,-0.4511474533452892,0.393944998534708,0.01629263782880866
160,-0.4536177637786709,0.388419576064164,0.017234157204788183
161,-0.4559259466792892,0.3829328972668272,0.018099689341979034
162,-0.4580747121856204,0.37748498095482275,0.01889213546138757
163,-0.460066765289467,0.3720758638657753,0.01961433164453462
164,-0.4619048241606184,0.3667055501446125,0.02026905670807331
165,-0.4635915907022181,0.3613740923445694,0.020859021249972617
166,-0.46512977893079327,0.35608150944506184,0.021386879410510838
167,-0.46652209902370406,0.3508278304343447,0.021855223265379486
168,-0.4677712593598245,0.34561308817970043,0.02226658431176501
169,-0.46887997673086873,0.3404372680751098,0.022623437775978
170,-0.4698509470259871,0.3353004368102181,0.022928192733838917
171,-0.470686880707915,0.33020257152187926,0.02318320552029482
172,-0.4713904566325219,0.3251438313501793,0.023390764341298727
173,-0.4719643940255331,0.3201240666844495,0.023553114507847066
174,-0.47241137761028484,0.31514328670539316,0.0236724337387404
175,-0.4727340787622479,0.3102016192790916,0.023750840315199143
176,-0.4729351718551467,0.30529922325709047,0.02379039926533854
177,-0.4730173382999665,0.30043607326259736,0.02379312396375759
178,-0.47298324412087706,0.29561197836968583,0.02376096958907945
179,-0.47283554942903855,0.29082727441968403,0.023695837665585518
180,-0.472576947595505,0.2860824820080358,0.02359958817781814
181,-0.47221007378144486,0.28137705724246964,0.023474010843949747
182,-0.4717375907527138,0.2767112587335506,0.023320854422874977
183,-0.47116220102444406,0.27208555347433344,0.023141829079622915
184,-0.4706923849592295,0.268823814841665,0.023000097263916518
185,-0.47002085449501196,0.2646907254904041,0.022801920918898967
186,-0.46918781984252467,0.26016541995030035,0.02256263640732994
187,-0.46827329150959707,0.2557356606220299,0.022306422496140805
188,-0.46726316481405283,0.2513163870469915,0.022030076975540956
189,-0.4661813275249767,0.246996608948449,0.02174069743415681
190,-0.4650284571587609,0.24275612967992813,0.02143889720945024
191,-0.4638377161007809,0.23868789527321532,0.02113351667384669
192,-0.46258991498736945,0.23469994427065435,0.020819780413134432
193,-0.46124286585934193,0.23065531863588007,0.020487949564535632
194,-0.4598928936001051,0.2268289394110291,0.020161779494153
195,-0.458482518221991,0.2230370238927637,0.019827315038159654
196,-0.4569779626241363,0.2191904252598815,0.019477139029986594
197,-0.4553667992814221,0.21526721803201532,0.019109268488405044
198,-0.4536603997389712,0.21130358689644807,0.018727226970079114
199,-0.4518793883822975,0.20734964352205554,0.018336352441532876
200,-0.45003039804712014,0.20341806083822483,0.017938630159184732
201,-0.4481134798325754,0.19950634126228006,0.01753455306094747
202,-0.4461338264763152,0.1956222697733852,0.017125671318634093
203,-0.44410788050025496,0.1917933905378521,0.016715713688328887
204,-0.4420381082353466,0.18801843140260188,0.016305385077770296
205,-0.43988363533005725,0.18422121527545207,0.015886991574038847
206,-0.4377002448157212,0.1804975114701296,0.015471781048037172
207,-0.43547515641741885,0.17681978886342753,0.01505741166379827
208,-0.4332039196871098,0.1731769830429741,0.014643266156120036
209,-0.43090130319548225,0.1695888396927559,0.014232208071770294
210,-0.4285757861368941,0.16606360870309816,0.013825789625582513
211,-0.42621108397576335,0.16257266786159177,0.013421243010746363
212,-0.423817224713908,0.159127696909752,0.013020416868368627
213,-0.4214061770162855,0.15574197695240222,0.01262533449872524
214,-0.4189673204720508,0.15239698821002506,0.012234265555537574
215,-0.41652103749221653,0.14911701951909087,0.011850456518083191
216,-0.41406313090665947,0.14589242733759192,0.011473142734699366
217,-0.41160943447984283,0.14273990524221314,0.011104606691770796
218,-0.4091595881394981,0.13965470904457017,0.010744576469562957
219,-0.40671906112144646,0.13663967810580102,0.010393628207169752
220,-0.4042686644834112,0.13366789301929377,0.010048845969715114
221,-0.4018334401386233,0.13076662370382997,0.009713588432292697
222,-0.39937066383034237,0.12788265120478973,0.009381883910496247
223,-0.3969218665808581,0.1250625391180042,0.009059262686714687
224,-0.39443690207355026,0.1222468400231374,0.00873908147284675
225,-0.39196857966531323,0.11949377677117107,0.008428116578720859
226,-0.3894651651264264,0.1167440945640634,0.00811980542094299
227,-0.38697318359205185,0.11404760257936067,0.007819872139094549
228,-0.3844608772313685,0.11136836716085269,0.007524419349079926
229,-0.38173724513969837,0.108506347808491,0.007211825497812864
230,-0.3792538861663195,0.1059337891755108,0.006933750274366027
231,-0.3766779816998744,0.10330108439029775,0.006652168235446278
232,-0.37414461331959054,0.10074593654706604,0.006381964041072987
233,-0.3715482567846146,0.09816096286559972,0.006111860967922128
234,-0.3690058867844465,0.09566154938901764,0.005853984267932594
235,-0.366406913912515,0.0931378137776752,0.005597030868182076
236,-0.3638065703074147,0.09064328964098756,0.005346604221364343
237,-0.36121740951601283,0.08818876326462749,0.005103794110529764
238,-0.3585939970802372,0.08573051305634186,0.004864344121425958
239,-0.3559966554321231,0.08332422337896872,0.004633716917882561
240,-0.35335118749750716,0.08090055883826637,0.004405326448249232
241,-0.35075846880089867,0.07855099164382268,0.004187796742100991
242,-0.3481258071090935,0.07619048878995226,0.003973229298380493
243,-0.34553680791307156,0.07389318041229895,0.003768360604603505
244,-0.34291126824249124,0.07158704839401792,0.0035667504779092777
245,-0.3403254613725914,0.06933834529122487,0.0033741840038654003
246,-0.3377205228923485,0.06709494312354955,0.003186143800958349
247,-0.33513376236231085,0.06488835649825161,0.003005268660689208
248,-0.33255206115940217,0.06270651498592467,0.0028305061441451407
249,-0.32998425465228637,0.06055610092261397,0.0026623372489982086
250,-0.32743204953358546,0.058437679084895375,0.0025007250921422123
251,-0.3248992157928711,0.056353498186622046,0.002345745913690804
252,-0.32238750485539003,0.054304104919656246,0.00219733105975895
253,-0.31989674401482526,0.05228849222324915,0.0020552941066519998
254,-0.317425812033431,0.05030494152650127,0.001919403339335453
255,-0.3149891763922528,0.048364169813840084,0.0017902504317103757
256,-0.3125788353731771,0.046458891190828314,0.0016671941746295952
257,-0.3101923910354626,0.04458643448531698,0.0015499308024819697
258,-0.3078377707150423,0.042752234175881934,0.0014386569739104978
259,-0.30551128836504005,0.04095263519747455,0.0013329993649477075
260,-0.30321107839770894,0.03918549189119905,0.00123269463267991
261,-0.30095749281569983,0.037465629037628574,0.0011384045000460224
262,-0.2987356593036352,0.03578088306632121,0.0010492763638720475
263,-0.29655128265913233,0.03413487223050091,0.0009653369119982936
264,-0.29440539588834863,0.0325276539460354,0.000886412823198599
265,-0.29229672668274875,0.03095758990196603,0.0008122511762050548
266,-0.29022873860585996,0.029426591894146977,0.0007427678097753535
267,-0.28820050773005534,0.027933324193957172,0.0006777263137926822
268,-0.2862148484561788,0.026479226647185584,0.0006170128674884074
269,-0.2842713721038281,0.02506339803665315,0.0005604127681433799
270,-0.28237141414260425,0.023686218528742982,0.000507766019329309
271,-0.28051619132376954,0.022347991674004187,0.00045890833049778263
272,-0.2787059271520793,0.02104832026364122,0.00041365116234948126
273,-0.27694245409711615,0.019787977967449126,0.00037184788619055184
274,-0.27522589531255975,0.018566527510812437,0.0003333120132264653
275,-0.27355631682535997,0.017383515038837116,0.00029786175968187206
276,-0.27193482293193616,0.016239241298914357,0.00026534137456060215
277,-0.27036230140793177,0.015133866193158473,0.00023559244114285127
278,-0.26883958096566124,0.014067521821965316,0.00020845804173816388
279,-0.267367083598278,0.013040071018987163,0.00018377773648226776
280,-0.2659454649575856,0.012051556600449684,0.0001613993880636331
281,-0.2645749833278111,0.011101761625325357,0.00014116925391723627
282,-0.2632566203934095,0.01019098652969501,0.0001229485938380831
283,-0.2619908378349012,0.009319186042206558,0.00010659533643561039
284,-0.26077774330925485,0.00848608826320573,9.196844926039202e-05
285,-0.2596184907901952,0.00769215538404425,7.894409945129654e-05
286,-0.2585130717966817,0.006937067137043285,6.739017795360684e-05
287,-0.25746240153371175,0.006221150556359989,5.718958049599185e-05
288,-0.25646628793337567,0.005543993125715544,4.8220145543668394e-05
289,-0.25552570178196626,0.004905989267851056,4.037580562834517e-05
290,-0.25464060835440694,0.004306865424570216,3.354772436038096e-05
291,-0.25381157764538,0.0037467736338887797,2.763779927654839e-05
292,-0.25303879181158406,0.0032256186935494544,2.2551142396037024e-05
293,-0.25232266181087365,0.002743475148975745,1.820050139275526e-05
294,-0.2516635139961424,0.002300375387102872,1.4504218036237667e-05
295,-0.25106151533870663,0.0018962598398486101,1.138617369299269e-05
296,-0.2505169069295687,0.0015311340232807141,8.777119743109678e-06
297,-0.2500298886907411,0.0012049909377154179,6.614139889272355e-06
298,-0.24960067077176698,0.0009178454933995636,4.84093787405944e-06
299,-0.24922947898112044,0.0006697380335090627,3.4078784318139616e-06
300,-0.2489164209781253,0.000460644918797996,2.271636999298195e-06
301,-0.24866157497397873,0.0002905379427660444,1.3956014013946667e-06
302,-0.2484651159349323,0.0001594684857687083,7.50219713164198e-07
303,-0.24832709616593363,6.742104490878984e-05,3.1244695438691897e-07
304,-0.24824756780594648,1.4395023122881724e-05,6.610106353420141e-08
305,-0.24822656783329744,3.9467407861668244e-07,1.8112642399537563e-09
306,-0.24826419214873865,2.5478636498539844e-05,1.1740069356520635e-07
307,-0.24835854706181734,8.839366646525861e-05,4.116585035233511e-07
308,-0.24851218915973738,0.00019086868067560913,9.034945617984649e-07
309,-0.24872422905304073,0.00033235005528450747,1.6083356317733628e-06
310,-0.24899461386444888,0.0005128568996667514,2.551037635479633e-06
311,-0.24932317246649402,0.0007323443751548481,3.762866371583739e-06
312,-0.24970989835528862,0.0009908926494704613,5.282578118686727e-06
313,-0.2501544470498769,0.0012883709673918017,7.154261244624208e-06
314,-0.25065679331508833,0.0016248770864028955,9.430109221710689e-06
315,-0.25121671755269903,0.0020003938640183517,1.216813998636203e-05
316,-0.2518340706913385,0.002414966607989061,1.543337274965172e-05
317,-0.25250844434118846,0.002868481545130613,1.9295824867662917e-05
318,-0.25323973404065275,0.0033610442758057572,2.3833758965676182e-05
319,-0.2540274444762153,0.003892512393616876,2.912920046602108e-05
320,-0.2548714493581796,0.004463007392971655,3.527294596648854e-05
321,-0.2557714174798588,0.005072528074211094,4.236059897650985e-05
322,-0.25672693249183687,0.005721030761531173,5.049301824698047e-05
323,-0.2577377813964468,0.006408625289565106,5.977887821481466e-05
324,-0.2588031573406822,0.007135032611684819,7.032667959074024e-05
325,-0.259923027901049,0.007900516430533126,8.225833819384225e-05
326,-0.2610968511204955,0.008705009059633935,9.569616580694157e-05
327,-0.26232396000492086,0.009548371677641838,0.00011076585212086562
328,-0.2636037743295437,0.010430539402228758,0.0001275988057760134
329,-0.26493635382834774,0.011351905373050518,0.0001463407387766286
330,-0.2663203880270196,0.01231193159238838,0.00016712235202290366
331,-0.2677559651677598,0.01331106388461209,0.0001900998239950482
332,-0.26924229816324086,0.014349157739291863,0.00021542054769450362
333,-0.2707783250107415,0.015425889570537768,0.00024323002398254765
334,-0.2723642529671159,0.016541841743247084,0.0002737015507071277
335,-0.2739982230244393,0.01769615931999682,0.0003069715987919526
336,-0.27568077730690455,0.01888969636424065,0.00034322899434384565
337,-0.2774102376368698,0.020121752539695465,0.0003826186347723116
338,-0.2791868302798675,0.021392997374017397,0.0004253316067202228
339,-0.2810093461590423,0.02270309493882771,0.0004715286288215088
340,-0.2828766751011351,0.02405179129415533,0.0005213732999644791
341,-0.28478847577231103,0.025439403553614483,0.000575052140581011
342,-0.28674419618141517,0.02686611791813775,0.0006327497378134018
343,-0.28874140150055233,0.028330757094427478,0.0006945932259283529
344,-0.2907802420757508,0.029834046445112516,0.0007607888472539841
345,-0.2928600608802603,0.031376143872421464,0.0008315214767055199
346,-0.29497874385878664,0.03295613833916561,0.0009069244563681682
347,-0.29713675293701636,0.03457505245149622,0.0009872229402463728
348,-0.29933089433475424,0.03623118310742307,0.0010725044291904494
349,-0.30156292400927087,0.037926572954571504,0.0011630482340474295
350,-0.3038330348894479,0.039662136125755955,0.001259083831318474
351,-0.3061362904117597,0.04143486857742289,0.0013606152024074518
352,-0.30847081548400873,0.04324408221987723,0.0014677617704800146
353,-0.3108396630113503,0.045092945978526644,0.001580876773009241
354,-0.31323636704499835,0.046977227569088176,0.0016998565059429618
355,-0.31566165926254675,0.0488983079892301,0.0018249346650335953
356,-0.3181155754760841,0.050857069433994984,0.0019563176405502257
357,-0.320593562737223,0.052850732728870586,0.0020939564014412953
358,-0.32310820655765543,0.05489040346571066,0.0022387816854247946
359,-0.3256296174684027,0.0569526917195457,0.00238923892901781
360,-0.32818025292811465,0.05905678967414333,0.0025468363932024543
361,-0.33074468920721484,0.061190914150188416,0.0027108023657372083
362,-0.3333249233235199,0.06335756829657213,0.0028814127737653754
363,-0.33591670129053947,0.06555403860245018,0.0030585288396089106
364,-0.33853097300748725,0.06779059115615176,0.003243072378129811
365,-0.34113582501711215,0.07004069952900811,0.0034328842832991135
366,-0.34377504050388785,0.07234316081566955,0.0036313144942447264
367,-0.3464107992390457,0.07466608342446643,0.003835680696488364
368,-0.34905707562813565,0.0770226263253751,0.004047162143522134
369,-0.35170603259371763,0.07940678553396902,0.004265246977392225
370,-0.3543434682845045,0.08180648402362217,0.004488801542122303
371,-0.35700506509284374,0.08425526439382189,0.004720980946158078
372,-0.3596323446443688,0.08670009398062584,0.004956707034032479
373,-0.3622848046899154,0.08919718294291062,0.005201379047220801
374,-0.3649098403598333,0.09169800308478453,0.005450203604993589
375,-0.3675671753678191,0.0942606485521767,0.005708962505176289
376,-0.37018419456774304,0.09681611092792133,0.005970621445681866
377,-0.37282254009698157,0.09942547921758135,0.006241377485010517
378,-0.3754346379301986,0.10204291167557732,0.006516409354109348
379,-0.3780431733161856,0.10469193766222301,0.006798089363198048
380,-0.380645470542317,0.10737110366382355,0.007086188256509162
381,-0.38324457424371366,0.11008490443888258,0.007381109433690108
382,-0.3858384397356581,0.11283268369219944,0.007682693532173282
383,-0.38840842612163495,0.11559578643594631,0.007988756443972702
384,-0.3909636388426902,0.11838494253092706,0.008300336057715338
385,-0.39353653848057535,0.1212376659426248,0.008621534476729253
386,-0.39605248629993,0.12407228688175509,0.008942960979978768
387,-0.39857692395834343,0.12696348273271058,0.009272913174417075
388,-0.40108443726853094,0.1298843081697567,0.009608155088170393
389,-0.4035714673281333,0.1328320821145359,0.009948178229715717
390,-0.4060583207214536,0.13583300496086537,0.010295815637466739
391,-0.4085099471597999,0.13884658384412743,0.0106461383203913
392,-0.41096322323636214,0.14192020399167435,0.011004428412736519
393,-0.41340199929261334,0.14503663054142538,0.011368421820152788
394,-0.41581053303867516,0.14817778461669717,0.011735714837354798
395,-0.418209120012614,0.15137257779149224,0.012109391751290888
396,-0.42060301613655054,0.15463182297072783,0.012490388169392994
397,-0.4229631874249142,0.1579190884785861,0.01287406895285418
398,-0.4253102567296379,0.1612661530750146,0.013263762725918626
399,-0.42765416039223997,0.16469221104127857,0.013661260302100551
400,-0.42996854457727474,0.16816343019233432,0.014062132621094584
401,-0.4322553030491223,0.17168647077728888,0.014466642417028988
402,-0.43452117010982905,0.17527659243364785,0.01487597749479588
403,-0.43673727978374416,0.17889200990036064,0.015284769142267318
404,-0.4389263779785096,0.182573930273975,0.015697080275930766
405,-0.4410780640685056,0.18631051351358824,0.01611086769069387
406,-0.44318576335643134,0.19009536903442,0.016524692952214936
407,-0.445240232354659,0.19391619533576815,0.016936471993830967
408,-0.4472414689170886,0.1977770381932765,0.0173458972369665
409,-0.449191489208019,0.20168675489540094,0.017753097130829783
410,-0.45106712685469363,0.20560206367187966,0.018152776391179806
411,-0.45289056243499504,0.20957300461804063,0.018549277894562975
412,-0.45464773439690315,0.2135745063519918,0.01893915899040005
413,-0.4563437693397499,0.2176235455860338,0.01932315284311854
414,-0.45796504603438837,0.22169241656586075,0.019697683731820313
415,-0.4595140754382949,0.22579114755844754,0.020062798500307774
416,-0.4609775488692924,0.22988657090108483,0.02041472491147159
417,-0.46235167862369975,0.23396631640905238,0.020751812295470344
418,-0.463623696588926,0.2379853918477291,0.021070050980976057
419,-0.46477618387949093,0.24187007815213923,0.021363971564495626
420,-0.4658054062878527,0.24557700407035316,0.021631361471229696
421,-0.466645328482854,0.24880398093331252,0.021854058715433146
422,-0.46769343545079756,0.25314695584631497,0.02213696353546476
423,-0.46863075903704743,0.257411288683824,0.02239580436102545
424,-0.4695178601870233,0.26189275294719916,0.02264657294260681
425,-0.4703071988738059,0.2663896093659694,0.022875596427970712
426,-0.47100556031927054,0.270956396910227,0.023084035034022697
427,-0.47160506771965127,0.27556608874432,0.02326885256748827
428,-0.4721027128860871,0.280216973865223,0.023428321431139827
429,-0.47249574365694264,0.2849089113712905,0.02356073578199846
430,-0.4727814624280731,0.2896429077778076,0.02366435557960532
431,-0.4729569807204529,0.2944166906734864,0.023737328324129336
432,-0.47301961450687474,0.29922986566276544,0.023777811293155544
433,-0.4729666878398294,0.3040828374522238,0.023783912470156602
434,-0.472795512459253,0.3089752164220647,0.02375368334661543
435,-0.4725034146938489,0.3139067931241114,0.023685127061878135
436,-0.47208772262006143,0.31887745416158486,0.023576193750613983
437,-0.47154572982892834,0.32388739184868753,0.02342476738421695
438,-0.47087477636164043,0.3289362912602961,0.023228693317798532
439,-0.4700721477447669,0.3340242964310587,0.022985741983012023
440,-0.4691351598752694,0.3391512862356082,0.02269363837252148
441,-0.468061094098541,0.3443173220514152,0.022350037823498873
442,-0.4668472739431599,0.34952224456911407,0.021952553702482433
443,-0.46549095706998844,0.35476617744327765,0.021498716172392133
444,-0.4639894578247732,0.36004899526820544,0.020986017845013236
445,-0.4623400495740261,0.3653707268657011,0.020411875734368742
446,-0.4605400322581218,0.3707313064635427,0.019773656932791532
447,-0.4585867003023749,0.37613069368436725,0.0190686653894456
448,-0.45647732858994017,0.38156890196024673,0.01829413536926393
449,-0.45420921544957826,0.387045882902521,0.017447248363535922
450,-0.4517796478348095,0.3925616223682522,0.016525118173982646
451,-0.44918593160844517,0.398116069337332,0.015524803125515584
452,-0.44642536048202,0.40370920813991085,0.014443292151735879
453,-0.4434952511184953,0.409340985084043,0.01327751962623956
454,-0.44039291717424295,0.4150113650224659,0.012024353396118929
455,-0.4371156715821861,0.42072032436590057,0.010680595183519225
456,-0.43366084582222886,0.426467818255584,0.009242988836331598
457,-0.4300257832783123,0.4322537964272264,0.007708217056635748
458,-0.4262078242638409,0.4380782276866626,0.006072893872994119
459,-0.42220433574473115,0.4439410544460139,0.004333578294541137
460,-0.41801267960849386,0.44984224245005944,0.002486758846723083
461,-0.4136302480753203,0.455781730267156,0.000528870295729158
462,-0.40905443077789105,0.4617594771763172,-0.0015437226494091389
463,-0.40428264987328955,0.46777541691198177,-0.0037347082869099526
464,-0.39931232458177984,0.4738295051517375,-0.006047845787192882
465,-0.39414090558469905,0.4799216768446542,-0.00848694817129872
466,-0.38876585494661364,0.48605187269923367,-0.011055892533743644
467,-0.38318465473365143,0.49222002960193234,-0.013758615801912833
468,-0.377394808618548,0.49842608013120226,-0.016599113951404156
469,-0.3713938376306954,0.5046699581512892,-0.01958144428149697
470,-0.3651792881431751,0.5109515912575149,-0.022709721210145806
471,-0.3587487266314045,0.5172709072722306,-0.02598811900733386
472,-0.3520997465085743,0.5236278282971996,-0.029420868053695492
473,-0.3452299620717735,0.5300222775241388,-0.03301225798835769
474,-0.3381370161618096,0.5364541727157621,-0.036766633400385496
475,-0.3308185781623745,0.5429234290779339,-0.04068839469240183
476,-0.32327234469914856,0.5494299594006513,-0.044781997456700404
477,-0.31549603820904776,0.555973675935123,-0.0490519529938596
478,-0.30748741775401933,0.5625544820493396,-0.05350282194521808
479,-0.29924426252747266,0.5691722866796473,-0.05813922313565225
480,-0.2907643918886187,0.5758269884917204,-0.0629658219419397
481,-0.2820456524816048,0.5825184870803881,-0.0679873370407787
482,-0.27308592538342913,0.5892466778408476,-0.07320853588772214
483,-0.2638831245501072,0.5960114537949579,-0.07863423503892411
484,-0.25443519877293463,0.6028127046753488,-0.08426929844906121
485,-0.24474013277441023,0.6096503167028942,-0.09011863621103974
486,-0.23479594518874253,0.6165241745052588,-0.09618720501754977
487,-0.22460069338788255,0.6234341582004507,-0.10248000470279742
488,-0.21415247022094286,0.6303801461188716,-0.10900207932234841
489,-0.20344940762330951,0.6373620127641352,-0.11575851430394286
490,-0.1924896753031617,0.6443796301021235,-0.12275443634268338
491,-0.1812714826001466,0.6514328667165614,-0.1299950114691038
492,-0.16979307765520618,0.6585215886815784,-0.13748544459075057
493,-0.15805274954550322,0.6656456585416806,-0.14523097733579401
494,-0.14604882643418557,0.6728049367340962,-0.15323688808979063
495,-0.13377967935188656,0.6799992795757916,-0.16150848887947977
496,-0.1212437188862527,0.6872285414867871,-0.17005112612216133
497,-0.10843939818626867,0.6944925734268157,-0.17887017789910556
498,-0.09536521240340048,0.701791223436477,-0.18797105314852933
499,-0.08201969800616167,0.7091243371789516,-0.1973591908780684
500,-0.06840143481535853,0.7164917569541182,-0.20704005792029528
501,-0.054509044470717506,0.7238933226717162,-0.21701914854980098
502,-0.04034119163384052,0.731328871295484,-0.22730198264662227
503,-0.025896583805957725,0.7387982370307494,-0.23789410457438243
504,-0.011173971017114374,0.7463012515444423,-0.24880108209373203
505,0.0038278535709561122,0.7538377436950119,-0.2600285048132526
506,0.01911005491009759,0.761407540178435,-0.2715819835458443
507,0.03467375388337364,0.7690104644430655,-0.28346714800042755
